"iso2c","country","year"
"AT","Austria",1999
"AT","Austria",2000
"AT","Austria",2001
"AT","Austria",2002
"AT","Austria",2003
"AT","Austria",2004
"AT","Austria",2005
"AT","Austria",2006
"AT","Austria",2007
"AT","Austria",2008
"AT","Austria",2009
"AT","Austria",2010
"AT","Austria",2011
"AT","Austria",2012
"AT","Austria",2013
"AT","Austria",2014
"AT","Austria",2015
"BE","Belgium",1999
"BE","Belgium",2000
"BE","Belgium",2001
"BE","Belgium",2002
"BE","Belgium",2003
"BE","Belgium",2004
"BE","Belgium",2005
"BE","Belgium",2006
"BE","Belgium",2007
"BE","Belgium",2008
"BE","Belgium",2009
"BE","Belgium",2010
"BE","Belgium",2011
"BE","Belgium",2012
"BE","Belgium",2013
"BE","Belgium",2014
"BE","Belgium",2015
"CY","Cyprus",2008
"CY","Cyprus",2009
"CY","Cyprus",2010
"CY","Cyprus",2011
"CY","Cyprus",2012
"CY","Cyprus",2013
"CY","Cyprus",2014
"CY","Cyprus",2015
"EE","Estonia",2011
"EE","Estonia",2012
"EE","Estonia",2013
"EE","Estonia",2014
"EE","Estonia",2015
"FI","Finland",1999
"FI","Finland",2000
"FI","Finland",2001
"FI","Finland",2002
"FI","Finland",2003
"FI","Finland",2004
"FI","Finland",2005
"FI","Finland",2006
"FI","Finland",2007
"FI","Finland",2008
"FI","Finland",2009
"FI","Finland",2010
"FI","Finland",2011
"FI","Finland",2012
"FI","Finland",2013
"FI","Finland",2014
"FI","Finland",2015
"FR","France",1999
"FR","France",2000
"FR","France",2001
"FR","France",2002
"FR","France",2003
"FR","France",2004
"FR","France",2005
"FR","France",2006
"FR","France",2007
"FR","France",2008
"FR","France",2009
"FR","France",2010
"FR","France",2011
"FR","France",2012
"FR","France",2013
"FR","France",2014
"FR","France",2015
"DE","Germany",1999
"DE","Germany",2000
"DE","Germany",2001
"DE","Germany",2002
"DE","Germany",2003
"DE","Germany",2004
"DE","Germany",2005
"DE","Germany",2006
"DE","Germany",2007
"DE","Germany",2008
"DE","Germany",2009
"DE","Germany",2010
"DE","Germany",2011
"DE","Germany",2012
"DE","Germany",2013
"DE","Germany",2014
"DE","Germany",2015
"GR","Greece",2001
"GR","Greece",2002
"GR","Greece",2003
"GR","Greece",2004
"GR","Greece",2005
"GR","Greece",2006
"GR","Greece",2007
"GR","Greece",2008
"GR","Greece",2009
"GR","Greece",2010
"GR","Greece",2011
"GR","Greece",2012
"GR","Greece",2013
"GR","Greece",2014
"GR","Greece",2015
"IE","Ireland",1999
"IE","Ireland",2000
"IE","Ireland",2001
"IE","Ireland",2002
"IE","Ireland",2003
"IE","Ireland",2004
"IE","Ireland",2005
"IE","Ireland",2006
"IE","Ireland",2007
"IE","Ireland",2008
"IE","Ireland",2009
"IE","Ireland",2010
"IE","Ireland",2011
"IE","Ireland",2012
"IE","Ireland",2013
"IE","Ireland",2014
"IE","Ireland",2015
"IT","Italy",1999
"IT","Italy",2000
"IT","Italy",2001
"IT","Italy",2002
"IT","Italy",2003
"IT","Italy",2004
"IT","Italy",2005
"IT","Italy",2006
"IT","Italy",2007
"IT","Italy",2008
"IT","Italy",2009
"IT","Italy",2010
"IT","Italy",2011
"IT","Italy",2012
"IT","Italy",2013
"IT","Italy",2014
"IT","Italy",2015
"LV","Latvia",2014
"LV","Latvia",2015
"LT","Lithuania",2015
"LU","Luxembourg",1999
"LU","Luxembourg",2000
"LU","Luxembourg",2001
"LU","Luxembourg",2002
"LU","Luxembourg",2003
"LU","Luxembourg",2004
"LU","Luxembourg",2005
"LU","Luxembourg",2006
"LU","Luxembourg",2007
"LU","Luxembourg",2008
"LU","Luxembourg",2009
"LU","Luxembourg",2010
"LU","Luxembourg",2011
"LU","Luxembourg",2012
"LU","Luxembourg",2013
"LU","Luxembourg",2014
"LU","Luxembourg",2015
"MT","Malta",2008
"MT","Malta",2009
"MT","Malta",2010
"MT","Malta",2011
"MT","Malta",2012
"MT","Malta",2013
"MT","Malta",2014
"MT","Malta",2015
"NL","Netherlands",1999
"NL","Netherlands",2000
"NL","Netherlands",2001
"NL","Netherlands",2002
"NL","Netherlands",2003
"NL","Netherlands",2004
"NL","Netherlands",2005
"NL","Netherlands",2006
"NL","Netherlands",2007
"NL","Netherlands",2008
"NL","Netherlands",2009
"NL","Netherlands",2010
"NL","Netherlands",2011
"NL","Netherlands",2012
"NL","Netherlands",2013
"NL","Netherlands",2014
"NL","Netherlands",2015
"PT","Portugal",1999
"PT","Portugal",2000
"PT","Portugal",2001
"PT","Portugal",2002
"PT","Portugal",2003
"PT","Portugal",2004
"PT","Portugal",2005
"PT","Portugal",2006
"PT","Portugal",2007
"PT","Portugal",2008
"PT","Portugal",2009
"PT","Portugal",2010
"PT","Portugal",2011
"PT","Portugal",2012
"PT","Portugal",2013
"PT","Portugal",2014
"PT","Portugal",2015
"SK","Slovakia",2009
"SK","Slovakia",2010
"SK","Slovakia",2011
"SK","Slovakia",2012
"SK","Slovakia",2013
"SK","Slovakia",2014
"SK","Slovakia",2015
"SI","Slovenia",2007
"SI","Slovenia",2008
"SI","Slovenia",2009
"SI","Slovenia",2010
"SI","Slovenia",2011
"SI","Slovenia",2012
"SI","Slovenia",2013
"SI","Slovenia",2014
"SI","Slovenia",2015
"ES","Spain",1999
"ES","Spain",2000
"ES","Spain",2001
"ES","Spain",2002
"ES","Spain",2003
"ES","Spain",2004
"ES","Spain",2005
"ES","Spain",2006
"ES","Spain",2007
"ES","Spain",2008
"ES","Spain",2009
"ES","Spain",2010
"ES","Spain",2011
"ES","Spain",2012
"ES","Spain",2013
"ES","Spain",2014
"ES","Spain",2015
